排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数,短评
1,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2334954,希望让人自由。
2,霸王别姬,导演: 陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1736254,风华绝代。
3,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,1757516,一部美国近现代史。
4,这个杀手不太冷,导演: 吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,1934445,怪蜀黍和小萝莉不得不说的故事。
5,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难,9.4,1719509,失去的才是永恒的。 
6,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1082577,最美的谎言。
7,千与千寻,导演: 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,1835513,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,897507,拯救一个人，就是拯救整个世界。
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,1699061,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1166761,永远都不能忘记你所爱的人。
11,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.3,1372017,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,导演: 彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.3,1286588,如果再也不能见到你，祝你早安，午安，晚安。
